Наименование товара,ID,Цена,Характеристики,Количество,Ссылка на товар,Показать выбранные варианты в общих ссылках,Ссылка на изображение,Магазин,Ссылка на магазин
"Трансграничный массажер для ног для физиотерапии, многофункциональная машина подогрева запястий и лодыжек, теплый горячий компресс, вибрационный массажер","988211336458","60.00\n≈ 843 $ (60.00\n≈ 843 $RUB )","тье нет","4","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F988211336458.html&q=1&t=1773831956794&tep=PFWXKQKNN22171723&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F988211336458.html%3F_ap_sku%3D%25255B%25255B4%25252C%252522%2525D1%252582%2525D1%25258C%2525D0%2525B5%252520%2525D0%2525BD%2525D0%2525B5%2525D1%252582%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956794&tep=PFWXKQKNN13111&cn=e-c&from=sku_link__1688_cart","","Вэньчжоу Shengyihao Technology Co., Ltd.","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221976086625577c0b"
"Оптовая продажа: бытовой электронный прибор для ухода за кожей, аппарат для красоты лица и губ, массажер для глаз, вибрационный прибор для лица.","643248323511","7.00\n≈ 089 $ (7.00\n≈ 089 $RUB )","Нет технических характеристик","10","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F643248323511.html&q=1&t=1773831956794&tep=PFWXKQKNN7241411&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F643248323511.html%3F_ap_sku%3D%25255B%25255B10%25252C%252522%2525D0%25259D%2525D0%2525B5%2525D1%252582%252520%2525D1%252582%2525D0%2525B5%2525D1%252585%2525D0%2525BD%2525D0%2525B8%2525D1%252587%2525D0%2525B5%2525D1%252581%2525D0%2525BA%2525D0%2525B8%2525D1%252585%252520%2525D1%252585%2525D0%2525B0%2525D1%252580%2525D0%2525B0%2525D0%2525BA%2525D1%252582%2525D0%2525B5%2525D1%252580%2525D0%2525B8%2525D1%252581%2525D1%252582%2525D0%2525B8%2525D0%2525BA%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956795&tep=PFWXKQKNN89117&cn=e-c&from=sku_link__1688_cart","","Компания электронной коммерции Ruian Zhuocai","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-22098567519938f89c"
"Корейский антиоксидантный крем 345, Смешанная","986745758911","6.00\n≈ 074 $ (6.00\n≈ 074 $RUB )","Нет технических характеристик","10","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F986745758911.html&q=1&t=1773831956795&tep=PFWXKQKNN2131714&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F986745758911.html%3F_ap_sku%3D%25255B%25255B10%25252C%252522%2525D0%25259D%2525D0%2525B5%2525D1%252582%252520%2525D1%252582%2525D0%2525B5%2525D1%252585%2525D0%2525BD%2525D0%2525B8%2525D1%252587%2525D0%2525B5%2525D1%252581%2525D0%2525BA%2525D0%2525B8%2525D1%252585%252520%2525D1%252585%2525D0%2525B0%2525D1%252580%2525D0%2525B0%2525D0%2525BA%2525D1%252582%2525D0%2525B5%2525D1%252580%2525D0%2525B8%2525D1%252581%2525D1%252582%2525D0%2525B8%2525D0%2525BA%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956795&tep=PFWXKQKNN29614&cn=e-c&from=sku_link__1688_cart","","Гуанчжоу Генен Торговая Компания","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-2220867888329b445f"
"Летние ультратонкие воздухопроницаемые вязаные наколенники для мужчин и женщин","828163742889","3.50\n≈052 $ (3.50\n≈052 $RUB )","Полый цвет кожи","10","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F828163742889.html&q=1&t=1773831956796&tep=PFWXKQKNN44188&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F828163742889.html%3F_ap_sku%3D%25255B%25255B10%25252C%252522%2525D0%25259F%2525D0%2525BE%2525D0%2525BB%2525D1%25258B%2525D0%2525B9%252520%2525D1%252586%2525D0%2525B2%2525D0%2525B5%2525D1%252582%252520%2525D0%2525BA%2525D0%2525BE%2525D0%2525B6%2525D0%2525B8%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956796&tep=PFWXKQKNN5231912&cn=e-c&from=sku_link__1688_cart","","Иу Chenfa Jiyu Trading Co., Ltd.","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-2218423473983a0ba6"
"Ролик для йоги, подошвенной фасции, мышц ног, релаксации, фитнеса, арки стопы, массажа","834107964423","1.00\n≈015 $ (1.00\n≈015 $RUB )","цветная коробка","6","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html&q=1&t=1773831956797&tep=PFWXKQKNN1251026&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html%3F_ap_sku%3D%25255B%25255B6%25252C%252522%2525D1%252586%2525D0%2525B2%2525D0%2525B5%2525D1%252582%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%252520%2525D0%2525BA%2525D0%2525BE%2525D1%252580%2525D0%2525BE%2525D0%2525B1%2525D0%2525BA%2525D0%2525B0%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956797&tep=PFWXKQKNN15335&cn=e-c&from=sku_link__1688_cart","","金华市殊臻贸易有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221858603021467c89"
"Ролик для йоги, подошвенной фасции, мышц ног, релаксации, фитнеса, арки стопы, массажа","834107964423","10.00\n≈149 $ (10.00\n≈149 $RUB )","полуденный фиолетовый","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html&q=1&t=1773831956797&tep=PFWXKQKNN13121112&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522%2525D0%2525BF%2525D0%2525BE%2525D0%2525BB%2525D1%252583%2525D0%2525B4%2525D0%2525B5%2525D0%2525BD%2525D0%2525BD%2525D1%25258B%2525D0%2525B9%252520%2525D1%252584%2525D0%2525B8%2525D0%2525BE%2525D0%2525BB%2525D0%2525B5%2525D1%252582%2525D0%2525BE%2525D0%2525B2%2525D1%25258B%2525D0%2525B9%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956798&tep=PFWXKQKNN36212&cn=e-c&from=sku_link__1688_cart","","金华市殊臻贸易有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221858603021467c89"
"Ролик для йоги, подошвенной фасции, мышц ног, релаксации, фитнеса, арки стопы, массажа","834107964423","10.00\n≈149 $ (10.00\n≈149 $RUB )","Матча зеленый","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html&q=1&t=1773831956798&tep=PFWXKQKNN1824179&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522%2525D0%25259C%2525D0%2525B0%2525D1%252582%2525D1%252587%2525D0%2525B0%252520%2525D0%2525B7%2525D0%2525B5%2525D0%2525BB%2525D0%2525B5%2525D0%2525BD%2525D1%25258B%2525D0%2525B9%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956798&tep=PFWXKQKNN722920&cn=e-c&from=sku_link__1688_cart","","金华市殊臻贸易有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221858603021467c89"
"Ролик для йоги, подошвенной фасции, мышц ног, релаксации, фитнеса, арки стопы, массажа","834107964423","10.00\n≈149 $ (10.00\n≈149 $RUB )","Монетный порошок","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html&q=1&t=1773831956799&tep=PFWXKQKNN1314239&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F834107964423.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522%2525D0%25259C%2525D0%2525BE%2525D0%2525BD%2525D0%2525B5%2525D1%252582%2525D0%2525BD%2525D1%25258B%2525D0%2525B9%252520%2525D0%2525BF%2525D0%2525BE%2525D1%252580%2525D0%2525BE%2525D1%252588%2525D0%2525BE%2525D0%2525BA%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956799&tep=PFWXKQKNN11557&cn=e-c&from=sku_link__1688_cart","","金华市殊臻贸易有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221858603021467c89"
"Красочные массажные подушечки для ног EMS, красивые ноги, подушечки для массажа подошв и ног, вибрационные импульсные массажные подушечки для расслабления ног","915276878789","50.90\n≈757 $ (50.90\n≈757 $RUB )","Красочная массажная подушечка для ног [перезаряжаемая с помощью пульта дистанционного управления]","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F915276878789.html&q=1&t=1773831956799&tep=PFWXKQKNN8212019&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F915276878789.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522%2525D0%25259A%2525D1%252580%2525D0%2525B0%2525D1%252581%2525D0%2525BE%2525D1%252587%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%252520%2525D0%2525BC%2525D0%2525B0%2525D1%252581%2525D1%252581%2525D0%2525B0%2525D0%2525B6%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%252520%2525D0%2525BF%2525D0%2525BE%2525D0%2525B4%2525D1%252583%2525D1%252588%2525D0%2525B5%2525D1%252587%2525D0%2525BA%2525D0%2525B0%252520%2525D0%2525B4%2525D0%2525BB%2525D1%25258F%252520%2525D0%2525BD%2525D0%2525BE%2525D0%2525B3%252520%25255B%2525D0%2525BF%2525D0%2525B5%2525D1%252580%2525D0%2525B5%2525D0%2525B7%2525D0%2525B0%2525D1%252580%2525D1%25258F%2525D0%2525B6%2525D0%2525B0%2525D0%2525B5%2525D0%2525BC%2525D0%2525B0%2525D1%25258F%252520%2525D1%252581%252520%2525D0%2525BF%2525D0%2525BE%2525D0%2525BC%2525D0%2525BE%2525D1%252589%2525D1%25258C%2525D1%25258E%252520%2525D0%2525BF%2525D1%252583%2525D0%2525BB%2525D1%25258C%2525D1%252582%2525D0%2525B0%252520%2525D0%2525B4%2525D0%2525B8%2525D1%252581%2525D1%252582%2525D0%2525B0%2525D0%2525BD%2525D1%252586%2525D0%2525B8%2525D0%2525BE%2525D0%2525BD%2525D0%2525BD%2525D0%2525BE%2525D0%2525B3%2525D0%2525BE%252520%2525D1%252583%2525D0%2525BF%2525D1%252580%2525D0%2525B0%2525D0%2525B2%2525D0%2525BB%2525D0%2525B5%2525D0%2525BD%2525D0%2525B8%2525D1%25258F%25255D%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956800&tep=PFWXKQKNN11834&cn=e-c&from=sku_link__1688_cart","","深圳晴宇科技有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-2208534405820513f0"
"腿部按摩器小腿肌肉神仪经络疏通静脉曲张电动全自动揉捏足疗机器","1004363871327","65.00\n≈966 $ (65.00\n≈966 $RUB )","深灰色+1只装; 英文包装","5","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F1004363871327.html&q=1&t=1773831956800&tep=PFWXKQKNN74254&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F1004363871327.html%3F_ap_sku%3D%25255B%25255B5%25252C%252522%2525E6%2525B7%2525B1%2525E7%252581%2525B0%2525E8%252589%2525B2%25252B1%2525E5%25258F%2525AA%2525E8%2525A3%252585%25253B%252520%2525E8%25258B%2525B1%2525E6%252596%252587%2525E5%25258C%252585%2525E8%2525A3%252585%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956800&tep=PFWXKQKNN241147&cn=e-c&from=sku_link__1688_cart","","温州铭悦康电子商务有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-2200736906928eecb8"
"骨洗澡防水套脚术后伤口保护套打石膏手脚受伤脚踝腿部洗澡神器","956174884313","56.80\n≈844 $ (56.80\n≈844 $RUB )","/成人短款腿部【橡胶加强防滑】/; /均码/","5","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html&q=1&t=1773831956800&tep=PFWXKQKNN2112192&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html%3F_ap_sku%3D%25255B%25255B5%25252C%252522%25252F%2525E6%252588%252590%2525E4%2525BA%2525BA%2525E7%25259F%2525AD%2525E6%2525AC%2525BE%2525E8%252585%2525BF%2525E9%252583%2525A8%2525E3%252580%252590%2525E6%2525A9%2525A1%2525E8%252583%2525B6%2525E5%25258A%2525A0%2525E5%2525BC%2525BA%2525E9%252598%2525B2%2525E6%2525BB%252591%2525E3%252580%252591%25252F%25253B%252520%25252F%2525E5%25259D%252587%2525E7%2525A0%252581%25252F%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956800&tep=PFWXKQKNN1620169&cn=e-c&from=sku_link__1688_cart","","东莞市煜辉体育用品有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221949698840042268"
"骨洗澡防水套脚术后伤口保护套打石膏手脚受伤脚踝腿部洗澡神器","956174884313","38.60\n≈574 $ (38.60\n≈574 $RUB )","/成人加高足部（适合小腿及以下使用）/; /均码/","5","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html&q=1&t=1773831956801&tep=PFWXKQKNN1511510&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html%3F_ap_sku%3D%25255B%25255B5%25252C%252522%25252F%2525E6%252588%252590%2525E4%2525BA%2525BA%2525E5%25258A%2525A0%2525E9%2525AB%252598%2525E8%2525B6%2525B3%2525E9%252583%2525A8%2525EF%2525BC%252588%2525E9%252580%252582%2525E5%252590%252588%2525E5%2525B0%25258F%2525E8%252585%2525BF%2525E5%25258F%25258A%2525E4%2525BB%2525A5%2525E4%2525B8%25258B%2525E4%2525BD%2525BF%2525E7%252594%2525A8%2525EF%2525BC%252589%25252F%25253B%252520%25252F%2525E5%25259D%252587%2525E7%2525A0%252581%25252F%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956801&tep=PFWXKQKNN181145&cn=e-c&from=sku_link__1688_cart","","东莞市煜辉体育用品有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221949698840042268"
"骨洗澡防水套脚术后伤口保护套打石膏手脚受伤脚踝腿部洗澡神器","956174884313","46.40\n≈690 $ (46.40\n≈690 $RUB )","/成人短款腿部/; /均码/","5","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html&q=1&t=1773831956801&tep=PFWXKQKNN25182125&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html%3F_ap_sku%3D%25255B%25255B5%25252C%252522%25252F%2525E6%252588%252590%2525E4%2525BA%2525BA%2525E7%25259F%2525AD%2525E6%2525AC%2525BE%2525E8%252585%2525BF%2525E9%252583%2525A8%25252F%25253B%252520%25252F%2525E5%25259D%252587%2525E7%2525A0%252581%25252F%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956801&tep=PFWXKQKNN113418&cn=e-c&from=sku_link__1688_cart","","东莞市煜辉体育用品有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221949698840042268"
"骨洗澡防水套脚术后伤口保护套打石膏手脚受伤脚踝腿部洗澡神器","956174884313","41.20\n≈612 $ (41.20\n≈612 $RUB )","/成人短款手臂/; /均码/","5","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html&q=1&t=1773831956802&tep=PFWXKQKNN12261026&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F956174884313.html%3F_ap_sku%3D%25255B%25255B5%25252C%252522%25252F%2525E6%252588%252590%2525E4%2525BA%2525BA%2525E7%25259F%2525AD%2525E6%2525AC%2525BE%2525E6%252589%25258B%2525E8%252587%252582%25252F%25253B%252520%25252F%2525E5%25259D%252587%2525E7%2525A0%252581%25252F%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956802&tep=PFWXKQKNN1223825&cn=e-c&from=sku_link__1688_cart","","东莞市煜辉体育用品有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-221949698840042268"
"Гипсовые туфли для поврежденных ног, обувь послеоперационная при вальгусной деформации, опухших ногах, широких ногах, деформированных ногах, защитная обувь при переломе подошвы.","980434630582","48.00\n≈713 $ (48.00\n≈713 $RUB )","М.; Все включено послеоперационная обувь [одиночная]","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F980434630582.html&q=1&t=1773831956802&tep=PFWXKQKNN111772&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F980434630582.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522%2525D0%25259C.%25253B%252520%2525D0%252592%2525D1%252581%2525D0%2525B5%252520%2525D0%2525B2%2525D0%2525BA%2525D0%2525BB%2525D1%25258E%2525D1%252587%2525D0%2525B5%2525D0%2525BD%2525D0%2525BE%252520%2525D0%2525BF%2525D0%2525BE%2525D1%252581%2525D0%2525BB%2525D0%2525B5%2525D0%2525BE%2525D0%2525BF%2525D0%2525B5%2525D1%252580%2525D0%2525B0%2525D1%252586%2525D0%2525B8%2525D0%2525BE%2525D0%2525BD%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%252520%2525D0%2525BE%2525D0%2525B1%2525D1%252583%2525D0%2525B2%2525D1%25258C%252520%25255B%2525D0%2525BE%2525D0%2525B4%2525D0%2525B8%2525D0%2525BD%2525D0%2525BE%2525D1%252587%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%25255D%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956803&tep=PFWXKQKNN25101721&cn=e-c&from=sku_link__1688_cart","","佛山市禅城区康倍宁电子商务店","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-2220705835308ac3e5"
"Гипсовые туфли для поврежденных ног, обувь послеоперационная при вальгусной деформации, опухших ногах, широких ногах, деформированных ногах, защитная обувь при переломе подошвы.","980434630582","48.00\n≈713 $ (48.00\n≈713 $RUB )","XL; Все включено послеоперационная обувь [одиночная]","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F980434630582.html&q=1&t=1773831956803&tep=PFWXKQKNN2515191&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F980434630582.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522XL%25253B%252520%2525D0%252592%2525D1%252581%2525D0%2525B5%252520%2525D0%2525B2%2525D0%2525BA%2525D0%2525BB%2525D1%25258E%2525D1%252587%2525D0%2525B5%2525D0%2525BD%2525D0%2525BE%252520%2525D0%2525BF%2525D0%2525BE%2525D1%252581%2525D0%2525BB%2525D0%2525B5%2525D0%2525BE%2525D0%2525BF%2525D0%2525B5%2525D1%252580%2525D0%2525B0%2525D1%252586%2525D0%2525B8%2525D0%2525BE%2525D0%2525BD%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%252520%2525D0%2525BE%2525D0%2525B1%2525D1%252583%2525D0%2525B2%2525D1%25258C%252520%25255B%2525D0%2525BE%2525D0%2525B4%2525D0%2525B8%2525D0%2525BD%2525D0%2525BE%2525D1%252587%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%25255D%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956804&tep=PFWXKQKNN2551826&cn=e-c&from=sku_link__1688_cart","","佛山市禅城区康倍宁电子商务店","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-2220705835308ac3e5"
"Гипсовые туфли для поврежденных ног, обувь послеоперационная при вальгусной деформации, опухших ногах, широких ногах, деформированных ногах, защитная обувь при переломе подошвы.","980434630582","48.00\n≈713 $ (48.00\n≈713 $RUB )","Л; Все включено послеоперационная обувь [одиночная]","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F980434630582.html&q=1&t=1773831956804&tep=PFWXKQKNN102188&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F980434630582.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522%2525D0%25259B%25253B%252520%2525D0%252592%2525D1%252581%2525D0%2525B5%252520%2525D0%2525B2%2525D0%2525BA%2525D0%2525BB%2525D1%25258E%2525D1%252587%2525D0%2525B5%2525D0%2525BD%2525D0%2525BE%252520%2525D0%2525BF%2525D0%2525BE%2525D1%252581%2525D0%2525BB%2525D0%2525B5%2525D0%2525BE%2525D0%2525BF%2525D0%2525B5%2525D1%252580%2525D0%2525B0%2525D1%252586%2525D0%2525B8%2525D0%2525BE%2525D0%2525BD%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%252520%2525D0%2525BE%2525D0%2525B1%2525D1%252583%2525D0%2525B2%2525D1%25258C%252520%25255B%2525D0%2525BE%2525D0%2525B4%2525D0%2525B8%2525D0%2525BD%2525D0%2525BE%2525D1%252587%2525D0%2525BD%2525D0%2525B0%2525D1%25258F%25255D%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956804&tep=PFWXKQKNN10192616&cn=e-c&from=sku_link__1688_cart","","佛山市禅城区康倍宁电子商务店","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-2220705835308ac3e5"
"Hong Kong Sheng Hooster Травма лодыжки фиксированная регулируемая подушка безопасности ахиллово сухожилие ботинки лодыжки","778091504347","150.00\n≈2229 $ (150.00\n≈2229 $RUB )","XL; Черный","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F778091504347.html&q=1&t=1773831956805&tep=PFWXKQKNN25131114&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F778091504347.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522XL%25253B%252520%2525D0%2525A7%2525D0%2525B5%2525D1%252580%2525D0%2525BD%2525D1%25258B%2525D0%2525B9%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956805&tep=PFWXKQKNN93116&cn=e-c&from=sku_link__1688_cart","","衡水港盛医疗器材有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-344667814855add"
"Hong Kong Sheng Hooster Травма лодыжки фиксированная регулируемая подушка безопасности ахиллово сухожилие ботинки лодыжки","778091504347","150.00\n≈2229 $ (150.00\n≈2229 $RUB )","L; Черный","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F778091504347.html&q=1&t=1773831956806&tep=PFWXKQKNN2582012&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F778091504347.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522L%25253B%252520%2525D0%2525A7%2525D0%2525B5%2525D1%252580%2525D0%2525BD%2525D1%25258B%2525D0%2525B9%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956806&tep=PFWXKQKNN183141&cn=e-c&from=sku_link__1688_cart","","衡水港盛医疗器材有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-344667814855add"
"Hong Kong Sheng Hooster Травма лодыжки фиксированная регулируемая подушка безопасности ахиллово сухожилие ботинки лодыжки","778091504347","150.00\n≈2229 $ (150.00\n≈2229 $RUB )","M; Черный","2","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F778091504347.html&q=1&t=1773831956807&tep=PFWXKQKNN4151922&cn=e-c&from=shopping_cart_export","https://www.aliprice.com/Index/detail.html?url=https%3A%2F%2Fdetail.1688.com%2Foffer%2F778091504347.html%3F_ap_sku%3D%25255B%25255B2%25252C%252522M%25253B%252520%2525D0%2525A7%2525D0%2525B5%2525D1%252580%2525D0%2525BD%2525D1%25258B%2525D0%2525B9%252522%25252C%252522%252522%25255D%25255D&q=1&t=1773831956807&tep=PFWXKQKNN615521&cn=e-c&from=sku_link__1688_cart","","衡水港盛医疗器材有限公司","https://winport.m.1688.com/page/index.html?upstreamSource=shopCar&memberId=b2b-344667814855add"
